Text1,Text2
Le produit est arrivee rapidement,La livraison est tres rapide
Je suis satisfait de ma commande,Je suis content de mon achat
Le service client a bien repondu a mes attentes,L assistance est efficace et rapide
Produit casse a la reception,L article est arrive endommage
Tout s est bien passe avec la commande,L experience d achat etait excellente
Le produit est arrive rapidement,Le site est lent et peu intuitif
Je suis satisfait de ma commande,Le colis n est jamais arrive
Le service client a bien repondu a mes attentes,Le produit etait trop petit
Produit casse a la reception,Le service client etait aimable
Tout s est bien passe avec la commande,J ai du annuler a cause d un bug
