Texte 1,Texte 2
Le chat est sur le canape,Il y a un chat sur le canape
La voiture est rouge,La voiture est bleue
Il aime lire des livres,Il aime passer du temps seul
Les enfants jouent dans le jardin,Les enfants sont a l ecole
Elle porte une robe bleue,Elle porte une tenue elegante
Le soleil brille dans le ciel,Il pleut abondamment dehors
Il est tard  je dois rentrer chez moi,Il est tot je peux sortir
Elle travaille en tant que professeur,Elle enseigne a l ecole
Les poissons nagent dans l eau,Les poissons volent dans les airs
Les oiseaux chantent le matin,Les oiseaux se reposent la nuit
